sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-04_14:49:16_989 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
42,1688267342,-0.145945,-1.869425,-13.651599,-78.129173,-70.180183,53.358406,-0.017841,0.457003,0.880412,-0.125318,
43,1688284009,-0.939660,-2.316114,-12.739017,-77.379036,-98.099609,56.247570,0.000942,0.462555,0.878193,-0.121738,
44,1688300676,-1.660579,-2.739781,-11.207348,-64.096924,-113.399101,54.201225,0.020742,0.467393,0.875507,-0.120835,
45,1688317343,-2.114946,-2.621919,-9.724231,-39.202518,-116.587440,49.419270,0.039157,0.471464,0.872344,-0.123307,
46,1688334010,-2.116293,-1.726610,-7.670895,-15.736854,-109.771820,45.412056,0.055010,0.475127,0.868774,-0.128300,
47,1688350677,-0.787914,-0.587196,-5.183364,-6.953322,-97.539139,44.248688,0.068678,0.478817,0.864975,-0.133550,
48,1688367344,0.018770,0.408659,-3.453851,-7.488804,-81.072876,44.689205,0.080295,0.482782,0.861137,-0.137540,
49,1688384011,0.317074,1.047094,-2.395525,-10.782804,-58.695240,45.981026,0.089342,0.487254,0.857408,-0.139474,
50,1688400678,1.595429,0.561197,-0.839284,-14.131112,-32.122025,45.151680,0.095279,0.492082,0.854073,-0.139056,
51,1688417345,3.201494,-0.340668,0.858532,2.335589,-5.422543,37.097073,0.096513,0.496659,0.851316,-0.138836,
52,1688434012,2.374378,-1.203005,0.602793,58.249119,30.558416,18.192314,0.088782,0.500372,0.849264,-0.143168,
53,1688450679,0.593745,-0.605969,-0.636550,154.413864,88.060303,-11.508728,0.066223,0.502644,0.847806,-0.155528,
54,1688467346,1.093401,0.964146,-1.644077,226.495758,160.395187,-47.674644,0.028562,0.502170,0.847079,-0.171656,
55,1688484013,3.264275,2.826453,-3.390471,221.318054,229.541382,-81.769135,-0.018151,0.498173,0.847600,-0.181846,
